time,sst,eis,t_adv,w700,rhft,clf
2001-01-01,296.1685,4.824930821948932,-1.6822542,0.022466874,35.642094,0.6633959829807281
2001-02-01,297.11526,3.4768273109683365,-1.9327898,0.026573,37.940147,0.6058799839019775
2001-03-01,298.159,2.265782880505734,-2.1991198,0.031559728,33.834457,0.5292899861931801
2001-04-01,298.17062,2.40281227168963,-2.5324116,0.03965089,21.56533,0.46415098890662193
2001-05-01,297.06927,3.5347879735678758,-2.9621482,0.037318014,7.9971886,0.31876399159431457
2001-06-01,295.93668,4.351136750690751,-2.8563795,0.03774146,5.577778,0.40805798895657064
2001-07-01,293.75323,6.245366553839838,-2.790791,0.03130036,8.452571,0.6746039837598801
2001-08-01,292.6918,7.781225069547957,-3.065977,0.04268796,9.426249,0.8343389827013016
2001-09-01,291.98196,9.125802765818488,-2.6782386,0.03722268,22.69409,0.8384439772367478
2001-10-01,292.66153,8.879466315465137,-2.2848792,0.032583855,21.388245,0.7994759774208069
2001-11-01,294.03003,6.4892283862713045,-1.9809964,0.04335517,22.256172,0.6961629816889763
2001-12-01,295.3147,6.266372936815097,-1.842035,0.036876872,27.094597,0.6802619796991348
2002-01-01,296.30682,4.935181110186787,-2.1112397,0.028797105,33.526722,0.5455159839987754
2002-02-01,297.34042,3.6623931597383774,-1.981812,0.03705394,28.640095,0.5581459844112396
2002-03-01,298.3823,2.1813209054217553,-2.051464,0.03168474,36.243248,0.5035529908537865
2002-04-01,298.2622,2.2192308105232423,-2.1327157,0.047212426,17.322557,0.4072769893705845
2002-05-01,296.94653,3.473043126763514,-3.630374,0.048767477,10.047489,0.4610969886183739
2002-06-01,295.10294,5.35017347215948,-3.7698247,0.044249922,7.3487487,0.5594399839639663
2002-07-01,293.54016,7.811253469471158,-2.9192798,0.044131674,10.475764,0.8651449757814408
2002-08-01,292.2644,7.2088975693137884,-3.144651,0.044279374,11.635782,0.8100269788503647
2002-09-01,291.8683,8.011816763216958,-2.2884667,0.056027412,16.712864,0.8237179809808731
2002-10-01,292.3224,9.158550148897458,-2.5106304,0.0292254,28.931181,0.8123449790477753
2002-11-01,293.29846,7.940692505623408,-2.5240636,0.029891815,30.157238,0.8145189785957336
2002-12-01,294.84796,6.843967965176321,-2.043697,0.032520156,28.61153,0.777992977797985
2003-01-01,296.79572,4.549321679993577,-1.8066058,0.024321463,39.379593,0.6101219856739044
2003-02-01,298.14008,3.137398571164072,-1.8888375,0.031574808,33.571175,0.43533398807048795
